# (i, j) of upper left coordinates.
565,34
134,73
342,74
91,127
598,174
130,276
649,357
103,406
193,450
581,457
246,441
335,461
372,490
155,503
235,551
149,579
378,465
647,181
42,371
362,459
552,577
236,569
24,547
579,166
618,576
445,423
