# (i, j) of upper left coordinates.
249,58
204,82
198,100
301,107
108,150
456,164
244,172
69,177
157,188
89,199
179,206
161,217
73,219
106,250
272,267
624,319
676,325
165,330
311,406
336,466
686,479
625,488
669,561
661,92
70,248
102,300
600,301
449,304
530,326
441,538
258,546
361,27
526,447
382,471
54,234
144,258
