# (i, j) of upper left coordinates.
105,98
172,116
613,128
639,141
120,155
30,220
199,222
448,268
201,270
149,298
51,326
263,334
691,388
557,403
672,413
352,493
689,532
131,367
411,150
285,155
179,253
152,317
91,336
462,382
158,412
384,548
471,590
560,530
654,556
76,369
413,518
163,267
257,599
159,155
135,322
21,310
642,400
707,556
566,95
