# (i, j) of upper left coordinates.
182,46
650,182
566,223
69,311
633,318
119,402
326,311
411,501
354,502
179,527
611,541
225,552
405,519
152,598
322,80
72,532
605,297
9,586
191,30
25,81
393,505
509,508
