# (i, j) of upper left coordinates.
622,132
536,170
87,245
620,263
124,360
680,394
186,501
598,513
330,237
345,492
81,493
224,513
155,566
599,255
377,487
22,250
395,489
383,503
39,53
486,485
15,576
