# (i, j) of upper left coordinates.
260,113
200,181
129,187
210,231
693,252
514,269
638,334
668,363
215,375
164,379
324,393
634,444
622,507
504,181
84,297
91,373
348,373
145,392
223,394
494,429
489,569
196,373
234,412
391,368
375,375
529,356
