# (i, j) of upper left coordinates.
116,45
511,116
27,131
154,175
211,192
605,217
273,218
470,275
673,369
629,405
599,406
674,406
384,447
586,455
447,148
397,158
602,199
288,307
269,448
528,557
518,592
600,593
134,23
20,112
354,411
674,389
38,338
608,567
