# (i, j) of upper left coordinates.
79,89
132,95
300,120
22,155
304,156
290,202
513,216
97,243
73,250
352,262
604,269
662,409
661,444
368,539
205,303
329,525
551,184
53,254
633,52
688,156
56,513
374,264
12,523
48,593
