# (i, j) of upper left coordinates.
146,54
99,55
301,82
304,115
299,160
504,193
102,221
60,226
80,228
350,232
592,249
647,387
657,434
327,497
367,529
544,177
206,274
65,500
52,590
15,146
685,141
667,371
368,247
372,226
479,567
462,575
