# (i, j) of upper left coordinates.
549,134
621,147
121,70
109,149
597,167
526,176
563,196
520,314
485,348
95,166
512,194
584,199
335,206
418,226
436,331
450,342
554,110
634,127
534,238
362,198
329,188
