# (i, j) of upper left coordinates.
261,125
203,188
129,193
208,242
515,273
672,369
216,381
325,397
224,400
624,514
507,187
81,300
640,340
348,376
87,377
162,384
143,396
496,433
637,450
490,573
198,378
235,417
393,373
532,364
376,379
