# (i, j) of upper left coordinates.
252,330
59,86
218,103
249,106
267,120
623,155
665,239
457,387
131,468
602,532
86,467
355,72
443,254
113,276
157,354
189,427
229,433
150,451
161,571
65,471
155,471
483,573
201,87
99,295
88,419
169,68
432,600
470,500
92,446
329,113
340,99
270,79
244,352
437,79
