# (i, j) of upper left coordinates.
118,74
129,245
637,345
113,377
198,435
577,438
46,369
250,417
334,450
365,455
382,455
154,482
373,491
633,153
23,309
31,534
669,71
145,554
545,563
692,487
230,528
233,546
587,152
609,561
571,140
