# (i, j) of upper left coordinates.
537,101
355,49
116,75
297,145
269,163
59,168
639,380
682,412
708,528
697,584
373,385
329,441
52,445
395,445
230,497
265,67
52,199
670,307
694,368
458,442
478,436
473,452
181,556
