# (i, j) of upper left coordinates.
66,133
117,141
300,152
27,171
303,195
562,196
284,245
65,276
619,292
359,295
677,427
666,451
367,547
530,239
95,266
332,547
43,288
651,70
50,67
12,532
474,570
44,592
491,577
476,588
