# (i, j) of upper left coordinates.
182,40
186,58
377,74
655,190
63,321
326,323
635,326
117,406
611,546
570,230
414,503
355,504
179,531
226,558
410,521
7,591
71,538
606,301
326,88
396,508
512,511
