# (i, j) of upper left coordinates.
103,40
232,71
182,85
279,98
447,120
556,132
276,205
589,348
657,355
289,382
597,385
557,389
515,479
497,534
356,379
569,549
500,555
587,521
561,102
54,297
344,363
644,322
