# (i, j) of upper left coordinates.
57,165
105,179
311,180
573,212
306,223
546,256
280,281
92,286
630,307
370,318
669,458
367,555
334,566
56,297
687,439
21,186
32,313
663,86
44,534
197,363
389,304
11,540
477,575
495,581
481,593
