# (i, j) of upper left coordinates.
617,256
345,269
59,300
587,305
315,312
69,343
658,358
388,371
25,258
35,361
256,389
370,592
690,596
7,593
35,569
508,599
409,372
490,598
186,449
422,355
4,568
