# (i, j) of upper left coordinates.
242,66
576,98
687,99
137,111
215,165
530,168
188,183
276,183
233,189
233,226
249,252
605,265
475,355
480,437
455,229
520,133
262,154
46,177
353,182
417,185
76,365
115,393
111,484
203,500
173,521
137,575
419,46
125,161
506,214
528,600
285,164
102,373
90,499
112,568
613,73
547,193
607,285
662,596
135,494
557,93
120,505
105,584
253,188
275,244
