# (i, j) of upper left coordinates.
428,41
170,64
305,85
195,93
118,96
177,105
105,114
43,132
257,155
417,217
480,231
147,236
643,243
186,258
634,263
284,293
489,351
303,370
647,416
613,434
405,486
613,499
544,184
557,201
684,436
254,490
208,62
358,431
122,59
132,113
686,403
88,74
