# (i, j) of upper left coordinates.
645,192
81,163
71,198
620,222
575,241
596,245
543,371
504,412
646,73
541,223
351,235
533,240
328,254
539,284
446,294
452,392
470,402
672,188
88,216
465,116
596,195
317,237
