# (i, j) of upper left coordinates.
209,100
130,127
234,130
665,224
116,271
622,289
641,313
117,338
337,358
146,361
605,388
687,397
608,445
530,568
487,125
481,208
203,331
363,346
380,348
214,349
316,360
217,367
234,380
670,391
484,534
32,311
174,349
482,402
78,573
144,582
78,596
147,600
494,286
541,442
184,333
216,600
