# (i, j) of upper left coordinates.
250,44
202,139
129,155
224,175
676,235
495,236
99,284
630,313
653,341
187,349
206,351
103,356
344,363
321,375
618,416
615,473
534,590
489,155
385,355
167,359
368,360
218,367
147,375
511,318
223,386
485,552
683,411
487,417
76,591
241,409
31,323
434,183
