# (i, j) of upper left coordinates.
556,143
625,154
116,83
103,156
602,177
566,203
586,207
525,324
489,361
562,119
94,175
528,181
516,200
422,236
439,342
535,245
333,212
328,194
640,138
361,199
663,127
454,355
