# (i, j) of upper left coordinates.
354,66
110,87
292,157
265,173
55,180
641,384
683,415
263,79
540,105
374,391
391,450
328,451
52,452
229,503
697,581
710,531
52,206
672,312
462,444
482,438
477,454
181,561
