# (i, j) of upper left coordinates.
241,59
253,77
653,219
450,366
236,412
589,504
218,58
339,64
111,238
432,242
247,293
151,317
190,397
86,406
159,412
136,430
0,548
159,430
608,129
673,199
105,409
68,451
158,543
464,565
416,582
573,182
465,477
702,474
342,46
574,153
99,429
651,493
94,449
249,318
