# (i, j) of upper left coordinates.
252,78
201,154
131,167
218,201
683,243
634,325
659,352
192,365
167,372
349,372
148,386
323,388
624,429
618,488
497,170
505,250
92,291
390,365
211,367
97,368
221,384
492,424
522,341
486,560
373,372
229,402
687,419
77,597
535,600
32,332
