# (i, j) of upper left coordinates.
252,52
651,210
245,266
449,357
85,405
584,491
99,441
110,218
427,227
153,292
190,385
163,394
241,405
158,529
408,572
596,108
562,131
107,402
160,413
456,561
138,415
70,442
1,541
572,166
95,250
464,466
220,34
112,260
651,484
671,191
104,421
254,294
544,130
