# (i, j) of upper left coordinates.
429,42
170,65
304,85
178,105
105,115
42,133
257,156
418,218
480,232
147,236
643,244
186,258
634,264
285,293
490,351
648,416
613,434
405,486
613,499
195,93
117,97
557,202
304,370
684,436
254,491
544,185
207,63
358,431
132,114
687,403
122,61
