# (i, j) of upper left coordinates.
453,191
151,64
439,94
634,176
147,196
591,204
599,223
152,311
396,324
652,344
595,374
515,502
480,503
664,201
282,296
561,302
355,308
226,313
627,316
4,517
137,518
189,593
189,322
143,547
294,311
76,516
84,567
94,594
37,263
169,268
455,356
478,355
199,289
224,555
535,374
