# (i, j) of upper left coordinates.
550,507
179,68
114,70
604,95
622,119
125,121
210,177
49,199
211,243
453,244
151,267
37,293
59,315
659,390
159,392
464,574
702,599
299,138
183,208
90,317
268,317
462,364
689,373
551,385
338,472
369,526
397,123
256,582
176,121
172,224
34,266
145,299
81,351
405,506
642,537
159,288
707,538
636,375
