# (i, j) of upper left coordinates.
249,57
204,81
301,106
108,149
457,163
244,171
69,176
157,187
89,199
180,205
161,217
73,218
106,249
272,267
102,300
599,301
623,318
675,325
165,330
311,405
336,465
686,478
625,488
441,538
668,560
661,91
70,247
449,304
530,325
257,546
361,26
526,446
381,471
198,99
55,233
144,257
