# (i, j) of upper left coordinates.
459,89
242,85
238,104
561,121
126,155
258,176
363,197
263,200
191,207
240,213
227,247
475,375
76,393
482,451
577,69
585,115
219,178
36,215
415,220
239,270
110,504
196,519
166,544
516,243
107,188
117,419
107,400
93,519
539,198
283,191
104,595
617,284
598,79
565,220
237,469
130,525
616,304
632,88
114,534
464,255
256,226
