# (i, j) of upper left coordinates.
494,50
513,102
74,113
182,119
211,139
312,149
215,157
252,179
659,199
267,202
578,225
595,243
462,304
471,419
618,574
474,160
551,67
347,147
116,343
152,428
99,450
217,473
180,478
147,527
152,122
293,133
110,468
85,472
507,583
648,49
128,516
598,224
80,316
452,165
95,330
654,561
411,100
118,530
