# (i, j) of upper left coordinates.
359,119
91,122
146,131
123,132
538,155
102,169
92,202
610,324
654,397
366,516
619,585
630,340
667,69
627,73
327,419
176,579
450,548
477,110
232,157
83,180
90,461
58,577
463,94
84,101
