# (i, j) of upper left coordinates.
551,509
114,71
178,71
605,98
624,120
125,123
175,123
299,140
209,180
210,245
452,246
151,269
36,294
60,316
91,319
689,375
552,387
661,392
370,528
465,575
399,125
47,200
183,212
268,318
159,393
338,474
644,538
406,506
255,583
171,227
144,301
80,353
557,75
158,289
461,365
702,600
707,540
33,268
704,488
