# (i, j) of upper left coordinates.
205,126
127,146
229,159
489,222
671,228
625,303
646,329
204,343
108,349
341,360
612,404
613,462
533,584
488,146
104,279
382,351
364,354
216,359
318,368
146,369
485,547
185,342
169,355
219,378
237,396
678,404
485,409
77,583
503,304
144,593
695,409
31,316
