# (i, j) of upper left coordinates.
429,55
240,74
135,121
525,149
259,159
215,166
534,179
355,185
44,187
188,188
235,193
231,231
474,357
457,237
560,100
579,103
271,186
417,194
246,256
77,371
481,440
111,488
172,525
136,581
510,222
201,503
122,166
115,399
607,269
104,380
91,503
552,201
284,170
549,35
110,573
663,600
104,590
609,288
239,448
254,196
