# (i, j) of upper left coordinates.
547,132
619,146
122,66
552,108
110,147
95,164
596,166
525,174
563,194
519,312
485,346
512,192
584,197
417,224
435,328
449,339
632,125
362,196
534,236
334,205
330,187
