# (i, j) of upper left coordinates.
270,219
133,232
552,239
206,270
535,330
185,331
651,378
333,439
626,575
589,94
58,330
345,399
51,414
148,436
105,450
240,460
506,473
236,477
558,433
499,600
230,427
678,508
377,412
