# (i, j) of upper left coordinates.
549,503
182,59
115,64
600,88
127,113
656,124
53,196
213,238
453,240
151,261
61,310
687,369
655,384
160,387
335,468
688,511
699,596
180,113
392,114
301,134
212,166
185,198
175,215
160,282
90,312
269,314
550,380
367,522
642,533
463,570
618,115
634,369
83,347
256,579
115,35
38,261
39,289
145,294
404,504
553,69
461,359
706,535
292,65
