# (i, j) of upper left coordinates.
572,51
125,100
85,147
602,188
130,291
655,363
243,453
191,458
585,468
475,49
337,100
99,420
336,468
371,492
153,515
376,472
235,558
653,193
25,549
40,372
556,579
584,174
152,584
362,462
622,579
452,433
