# (i, j) of upper left coordinates.
121,65
128,240
634,342
115,372
199,433
576,435
251,413
334,449
366,454
383,454
154,479
373,490
46,369
144,551
665,68
585,149
25,302
544,562
630,149
691,485
229,525
33,532
434,396
608,560
570,136
523,567
237,600
