# (i, j) of upper left coordinates.
548,404
270,180
132,218
207,237
195,298
529,309
66,321
647,361
688,398
68,400
535,218
346,393
153,416
327,421
123,427
232,436
238,453
501,455
627,552
494,590
226,410
657,487
377,400
447,260
392,390
