# (i, j) of upper left coordinates.
637,175
94,130
85,180
614,204
535,206
323,216
571,227
591,230
330,235
538,353
584,152
524,223
437,269
447,372
498,392
462,383
355,217
536,268
660,169
581,176
92,201
625,47
