"(x, y) [mm]",105,115,125,135,145,155,165,175,185,195,205,215,225,235,245
0,,,,"382, 130","429, 130","477, 130","525, 130","575, 130","624, 130","673, 130","723, 130","775, 131","825, 131",,
10,"240, 171","286, 171","334, 171","381, 171","428, 170","476, 170","524, 170","574, 170","623, 171","673, 171","723, 171","774, 171","825, 172","876, 172","926, 173"
20,"239, 213","285, 213","333, 213","380, 213","427, 213","476, 213","524, 213","573, 212","622, 212","672, 212","723, 212","774, 213","824, 213","875, 213","925, 213"
30,"239, 254","284, 254","332, 254","379, 254","427, 254","475, 254","524, 254","573, 254","622, 254","672, 254","723, 254","774, 254","824, 254","875, 254","925, 254"
40,"238, 296","283, 296","332, 296","379, 296","427, 296","475, 296","524, 296","573, 295","622, 295","672, 295","723, 295","773, 295","824, 295","875, 295","925, 295"
50,"238, 338","283, 338","332, 338","378, 338","426, 338","475, 337","523, 337","572, 337","622, 336","672, 335","723, 335","773, 334","824, 334","875, 334","925, 334"
60,"238, 381","283, 380","331, 380","378, 380","426, 380","475, 380","523, 380","572, 379","622, 379","672, 378","723, 378","773, 378","824, 377","875, 377","925, 377"
70,"237, 423","283, 423","330, 423","378, 422","426, 422","475, 422","524, 421","573, 421","622, 421","672, 420","723, 420","774, 419","825, 418","876, 417","925, 416"
80,"237, 466","283, 466","330, 465","378, 465","426, 464","475, 464","524, 463","574, 463","622, 462","673, 462","724, 461","775, 460","826, 459","876, 458","925, 458"
